post_link;likes;post _date;;;
https://www.instagram.com/p/C-SPHQ0pyTX;1026;05/08/24;;;
https://www.instagram.com/p/C-U_nrgp5sA;1180;06/08/24;;;
https://www.instagram.com/p/C-W4DV8JZNv;1172;07/08/24;;;
https://www.instagram.com/p/C-ZJYunPoOG;704;08/08/24;;;
https://www.instagram.com/p/C-cBsnfhS41;191;09/08/24;;;
https://www.instagram.com/p/C-ca19-pZT9;670;09/08/24;;;
https://www.instagram.com/p/C-eunP4JNVx;611;10/08/24;;;
https://www.instagram.com/p/C-ezsv9Sb5j;121;10/08/24;;;
https://www.instagram.com/p/C-fSuHJvsoE;507;10/08/24;;;
https://www.instagram.com/p/C-kP_1xJvbY;562;12/08/24;;;
https://www.instagram.com/p/C-kliFwvon8;165;12/08/24;;;
https://www.instagram.com/p/C-nDdb7vfGr;411;13/08/24;;;
https://www.instagram.com/p/C-o2M0AhAZc;138;14/08/24;;;
https://www.instagram.com/p/C-peXQCJRgt;716;14/08/24;;;
https://www.instagram.com/p/C-rqJcACZ4R;162;15/08/24;;;
https://www.instagram.com/p/C-uJpVHJWMp;664;16/08/24;;;
https://www.instagram.com/p/C-vA1UwPLiF;512;16/08/24;;;
https://www.instagram.com/p/C-wAJ4CyZ10;377;17/08/24;;;
https://www.instagram.com/p/C--ELBCtPHf;145;22/08/24;;;
https://www.instagram.com/p/C_CggYEpiTi;598;24/08/24;;;
https://www.instagram.com/p/C_FN6dGN6SR;220;25/08/24;;;
https://www.instagram.com/p/C_F3beHulBt;674;25/08/24;;;
https://www.instagram.com/p/C_IpVrNKtPZ;157;26/08/24;;;
https://www.instagram.com/p/C_MpLpov2-b;1297;28/08/24;;;
https://www.instagram.com/p/C_O5-JkNv5N;760;29/08/24;;;
https://www.instagram.com/p/C_PZUCPTCU1;918;29/08/24;;;
https://www.instagram.com/p/C_P7VEQpQ7_;1103;29/08/24;;;
https://www.instagram.com/p/C_QIMYjJYL6;939;29/08/24;;;
https://www.instagram.com/p/C_Qk3zev_8b;533;29/08/24;;;
https://www.instagram.com/p/C_aF7t0JE-d;522;02/09/24;;;
https://www.instagram.com/p/C_abznNJqiA;472;02/09/24;;;
https://www.instagram.com/p/C_fMkvXJBPw;615;06/09/24;;;
https://www.instagram.com/p/C_keRjtie5U;1544;07/09/24;;;
https://www.instagram.com/p/C_sTd8pI1AY;418;08/09/24;;;
https://www.instagram.com/p/C_vbrD-vo_h;610;09/09/24;;;
https://www.instagram.com/p/C_0GYfjPwfT;422;09/09/24;;;
https://www.instagram.com/p/C_0KIeDvWlc;355;15/09/24;;;
https://www.instagram.com/p/C_7OjLhOPmp;375;15/09/24;;;
https://www.instagram.com/p/C_7xuCVtaQy;139;15/09/24;;;